"algorithm","embedding","f1_measure"
"SVM","A Skipgram-static", 81.89713
"SVM","A Skipgram-static", 82.70777
"SVM","A Skipgram-static", 82.57124
"SVM","A Skipgram-static", 82.89474
"SVM","A Skipgram-static", 81.77601
"SVM","D Skipgram-non-static", 90.45455
"SVM","D Skipgram-non-static", 90.88278
"SVM","D Skipgram-non-static", 89.32462
"SVM","D Skipgram-non-static", 89.54781
"SVM","D Skipgram-non-static", 86.87023
"SVM","D Skipgram-non-static", 88.09524
"SVM","D Skipgram-non-static", 88.55422
"SVM","D Skipgram-non-static", 88.28697
"SVM","D Skipgram-non-static", 89.18519
"SVM","D Skipgram-non-static", 88.65356
"XGBoost","E LSTM", 93.92379
"XGBoost","E LSTM", 93.23308
"XGBoost","E LSTM", 93.51753
"XGBoost","E LSTM", 92.84211
"XGBoost","E LSTM", 93.67089
"XGBoost","E LSTM", 93.69748
"XGBoost","E LSTM", 93.40659
"XGBoost","E LSTM", 92.78351
"XGBoost","E LSTM", 93.33333
"XGBoost","E LSTM", 91.68443
"XGBoost","B GloVe-static", 86.65298
"XGBoost","B GloVe-static", 86.04899
"XGBoost","B GloVe-static", 84.61538
"XGBoost","B GloVe-static", 86.01253
"XGBoost","B GloVe-static", 85.14644
"XGBoost","B GloVe-static", 85.212
"XGBoost","B GloVe-static", 85.24229
"XGBoost","B GloVe-static", 84.86708
"XGBoost","B GloVe-static", 85.53719
"XGBoost","B GloVe-static", 83.8013
"XGBoost","C GloVe-non-static", 89.50617
"XGBoost","C GloVe-non-static", 90.59459
"XGBoost","C GloVe-non-static", 88.58058
"XGBoost","C GloVe-non-static", 88.27878
"XGBoost","C GloVe-non-static", 88.53838
"XGBoost","C GloVe-non-static", 90.625
"XGBoost","C GloVe-non-static", 89.76035
"XGBoost","C GloVe-non-static", 88.93401
"XGBoost","C GloVe-non-static", 88.42105
"XGBoost","C GloVe-non-static", 87.44589
"XGBoost","A Skipgram-static", 82.27979
"XGBoost","A Skipgram-static", 81.42549
"XGBoost","A Skipgram-static", 81.75027
"XGBoost","A Skipgram-static", 82.46347
"XGBoost","A Skipgram-static", 82.19178
"XGBoost","A Skipgram-static", 84.43983
"XGBoost","A Skipgram-static", 82.80255
"XGBoost","A Skipgram-static", 80.69459
"XGBoost","A Skipgram-static", 81.81818
"XGBoost","A Skipgram-static", 82.61328
"XGBoost","D Skipgram-non-static", 92.67782
"XGBoost","D Skipgram-non-static", 92.68293
"XGBoost","D Skipgram-non-static", 93.33333
"XGBoost","D Skipgram-non-static", 91.86906
"XGBoost","D Skipgram-non-static", 92.93994
"XGBoost","D Skipgram-non-static", 92.78997
"XGBoost","D Skipgram-non-static", 91.91584
"XGBoost","D Skipgram-non-static", 92.11873
"XGBoost","D Skipgram-non-static", 91.0828
"XGBoost","D Skipgram-non-static", 92.25806
"XGBoost","E LSTM", 91.27517
"XGBoost","E LSTM", 91.80887
"XGBoost","E LSTM", 90.94017
"XGBoost","E LSTM", 89.48247
"XGBoost","E LSTM", 91
"XGBoost","E LSTM", 92.63502
"XGBoost","E LSTM", 93.46405
"XGBoost","E LSTM", 90.54054
"XGBoost","E LSTM", 92.15686
"XGBoost","E LSTM", 91.27517
"XGBoost","B GloVe-static", 84.17722
"XGBoost","B GloVe-static", 82.79221
"XGBoost","B GloVe-static", 80.59701
"XGBoost","B GloVe-static", 83.78812
"XGBoost","B GloVe-static", 82.82504
"XGBoost","B GloVe-static", 86.02484
"XGBoost","B GloVe-static", 83.49515
"XGBoost","B GloVe-static", 83.2
"XGBoost","B GloVe-static", 84.05797
"XGBoost","B GloVe-static", 82.41042
"XGBoost","C GloVe-non-static", 86.28099
"XGBoost","C GloVe-non-static", 85.90164
"XGBoost","C GloVe-non-static", 86.37874
"XGBoost","C GloVe-non-static", 87.12871
"XGBoost","C GloVe-non-static", 83.88158
"XGBoost","C GloVe-non-static", 89.28
"XGBoost","C GloVe-non-static", 86.53846
"XGBoost","C GloVe-non-static", 86.98517
"XGBoost","C GloVe-non-static", 86.85897
"XGBoost","C GloVe-non-static", 85.09213
"XGBoost","A Skipgram-static", 83.73591
"XGBoost","A Skipgram-static", 83.46457
"XGBoost","A Skipgram-static", 82.98217
"XGBoost","A Skipgram-static", 82.05128
"XGBoost","A Skipgram-static", 80.96774
"XGBoost","A Skipgram-static", 85.57994
"XGBoost","A Skipgram-static", 85.1735
"XGBoost","A Skipgram-static", 82.31612
"XGBoost","A Skipgram-static", 83.30684
"XGBoost","A Skipgram-static", 82.80255
"XGBoost","D Skipgram-non-static", 87.78878
"XGBoost","D Skipgram-non-static", 89.11223
"XGBoost","D Skipgram-non-static", 90.32258
"XGBoost","D Skipgram-non-static", 91.51414
"XGBoost","D Skipgram-non-static", 91.23377
"XGBoost","D Skipgram-non-static", 92.52782
"XGBoost","D Skipgram-non-static", 92.05835
"XGBoost","D Skipgram-non-static", 92.02658
"XGBoost","D Skipgram-non-static", 89.61039
"XGBoost","D Skipgram-non-static", 90.63545
"XGBoost","E LSTM", 86.86131
"XGBoost","E LSTM", 88.17204
"XGBoost","E LSTM", 88.80309
"XGBoost","E LSTM", 87.17949
"XGBoost","E LSTM", 88.43537
"XGBoost","E LSTM", 87.85714
"XGBoost","E LSTM", 90.52632
"XGBoost","E LSTM", 87.23404
"XGBoost","E LSTM", 88.88889
"XGBoost","E LSTM", 85.39326
"XGBoost","B GloVe-static", 70.22901
"XGBoost","B GloVe-static", 75.35211
"XGBoost","B GloVe-static", 71.26437
"XGBoost","B GloVe-static", 74.07407
"XGBoost","B GloVe-static", 75.83893
"XGBoost","B GloVe-static", 78.23129
"XGBoost","B GloVe-static", 77.35192
"XGBoost","B GloVe-static", 75.61837
"XGBoost","B GloVe-static", 68.88889
"XGBoost","B GloVe-static", 75.1773
"XGBoost","C GloVe-non-static", 73.18841
"XGBoost","C GloVe-non-static", 75.53957
"XGBoost","C GloVe-non-static", 76.15385
"XGBoost","C GloVe-non-static", 74.61538
"XGBoost","C GloVe-non-static", 79.16667
"XGBoost","C GloVe-non-static", 81.11888
"XGBoost","C GloVe-non-static", 79.0378
"XGBoost","C GloVe-non-static", 80.13937
"XGBoost","C GloVe-non-static", 70.1107
"XGBoost","C GloVe-non-static", 77.30496
"XGBoost","A Skipgram-static", 72.59786
"XGBoost","A Skipgram-static", 74.82517
"XGBoost","A Skipgram-static", 68.18182
"XGBoost","A Skipgram-static", 72.59259
"XGBoost","A Skipgram-static", 74.66667
"XGBoost","A Skipgram-static", 72.20217
"XGBoost","A Skipgram-static", 74.14966
"XGBoost","A Skipgram-static", 75.35211
"XGBoost","A Skipgram-static", 69.46565
"XGBoost","A Skipgram-static", 67.93893
"XGBoost","D Skipgram-non-static", 85.81315
"XGBoost","D Skipgram-non-static", 84.47653
"XGBoost","D Skipgram-non-static", 80.15873
"XGBoost","D Skipgram-non-static", 84.44444
"XGBoost","D Skipgram-non-static", 84.72222
"XGBoost","D Skipgram-non-static", 82.97872
"XGBoost","D Skipgram-non-static", 86.50519
"XGBoost","D Skipgram-non-static", 83.63636
"XGBoost","D Skipgram-non-static", 85.71429
"XGBoost","D Skipgram-non-static", 82.26415
"XGBoost","E LSTM", 88.63859
"XGBoost","E LSTM", 87.62781
"XGBoost","E LSTM", 89.29452
"XGBoost","E LSTM", 87.99182
"XGBoost","E LSTM", 88.2643
"XGBoost","E LSTM", 89.19753
"XGBoost","E LSTM", 87.31269
"XGBoost","E LSTM", 89.43489
"XGBoost","E LSTM", 87.65371
"XGBoost","E LSTM", 86.83948
"XGBoost","B GloVe-static", 76.67177
"XGBoost","B GloVe-static", 75.78616
"XGBoost","B GloVe-static", 76.88391
"XGBoost","B GloVe-static", 77.46261
"XGBoost","B GloVe-static", 76.49723
"XGBoost","B GloVe-static", 77.03549
"XGBoost","B GloVe-static", 77.38279
"XGBoost","B GloVe-static", 78.31814
"XGBoost","B GloVe-static", 76.58031
"XGBoost","B GloVe-static", 75.3474
"XGBoost","C GloVe-non-static", 82.83028
"XGBoost","C GloVe-non-static", 84.28645
"XGBoost","C GloVe-non-static", 84.07835
"XGBoost","C GloVe-non-static", 83.85443
"XGBoost","C GloVe-non-static", 84.02778
"XGBoost","C GloVe-non-static", 83.1746
"XGBoost","C GloVe-non-static", 83.02454
"XGBoost","C GloVe-non-static", 85.52764
"XGBoost","C GloVe-non-static", 83.21608
"XGBoost","C GloVe-non-static", 82.55102
"XGBoost","A Skipgram-static", 71.61125
"XGBoost","A Skipgram-static", 69.16277
"XGBoost","A Skipgram-static", 71.78699
"XGBoost","A Skipgram-static", 71.85185
"XGBoost","A Skipgram-static", 70.49608
"XGBoost","A Skipgram-static", 71.06383
"XGBoost","A Skipgram-static", 71.69421
"XGBoost","A Skipgram-static", 73.22069
"XGBoost","A Skipgram-static", 70.54545
"XGBoost","A Skipgram-static", 72.25673
"XGBoost","D Skipgram-non-static", 86.16601
"XGBoost","D Skipgram-non-static", 85.93117
"XGBoost","D Skipgram-non-static", 86.50246
"XGBoost","D Skipgram-non-static", 87.49362
"XGBoost","D Skipgram-non-static", 87.07617
"XGBoost","D Skipgram-non-static", 87.10513
"XGBoost","D Skipgram-non-static", 86.9258
"XGBoost","D Skipgram-non-static", 86.8667
"XGBoost","D Skipgram-non-static", 85.9596
"XGBoost","D Skipgram-non-static", 85.23929
"XGBoost","E LSTM", 88.36502
"XGBoost","E LSTM", 88.13814
"XGBoost","E LSTM", 87.73514
"XGBoost","E LSTM", 87.02993
"XGBoost","E LSTM", 87.46224
"XGBoost","E LSTM", 88.02974
"XGBoost","E LSTM", 89.10304
"XGBoost","E LSTM", 87.41313
"XGBoost","E LSTM", 85.93041
"XGBoost","E LSTM", 86.13027
"XGBoost","B GloVe-static", 81.09274
"XGBoost","B GloVe-static", 80.57762
"XGBoost","B GloVe-static", 80.46143
"XGBoost","B GloVe-static", 78.36431
"XGBoost","B GloVe-static", 80.37929
"XGBoost","B GloVe-static", 82.40343
"XGBoost","B GloVe-static", 81.3903
"XGBoost","B GloVe-static", 78.77462
"XGBoost","B GloVe-static", 78.1911
"XGBoost","B GloVe-static", 79.47407
"XGBoost","C GloVe-non-static", 83.01043
"XGBoost","C GloVe-non-static", 82.78932
"XGBoost","C GloVe-non-static", 82.6087
"XGBoost","C GloVe-non-static", 80.61776
"XGBoost","C GloVe-non-static", 82.72795
"XGBoost","C GloVe-non-static", 84.70418
"XGBoost","C GloVe-non-static", 82.81938
"XGBoost","C GloVe-non-static", 82.95964
"XGBoost","C GloVe-non-static", 82.78443
"XGBoost","C GloVe-non-static", 81.85907
"XGBoost","A Skipgram-static", 78.31067
"XGBoost","A Skipgram-static", 78.77462
"XGBoost","A Skipgram-static", 77.99283
"XGBoost","A Skipgram-static", 76.36888
"XGBoost","A Skipgram-static", 79.5389
"XGBoost","A Skipgram-static", 79.59914
"XGBoost","A Skipgram-static", 79.71326
"XGBoost","A Skipgram-static", 77.27273
"XGBoost","A Skipgram-static", 77.7937
"XGBoost","A Skipgram-static", 76.51297
"XGBoost","D Skipgram-non-static", 87.13318
"XGBoost","D Skipgram-non-static", 86.96307
"XGBoost","D Skipgram-non-static", 87.40741
"XGBoost","D Skipgram-non-static", 86.39508
"XGBoost","D Skipgram-non-static", 87.08709
"XGBoost","D Skipgram-non-static", 88.31741
"XGBoost","D Skipgram-non-static", 88.26152
"XGBoost","D Skipgram-non-static", 86.23298
"XGBoost","D Skipgram-non-static", 86.1678
"XGBoost","D Skipgram-non-static", 87.5569
"SVM","F Drunk2Vec", 94.947368
"SVM","F Drunk2Vec", 93.29140473
"SVM","F Drunk2Vec", 93.12500079
"SVM","F Drunk2Vec", 94.18960413
"SVM","F Drunk2Vec", 95.08197074
"SVM","F Drunk2Vec", 95.44008405
"SVM","F Drunk2Vec", 95.01525656
"SVM","F Drunk2Vec", 94.30379526
"SVM","F Drunk2Vec", 94.16666624
"SVM","F Drunk2Vec", 94.97326403
"SVM","F Drunk2Vec", 92.91597957
"SVM","F Drunk2Vec", 93.28858996
"SVM","F Drunk2Vec", 93.77048969
"SVM","F Drunk2Vec", 92.48365994
"SVM","F Drunk2Vec", 94.23394203
"SVM","F Drunk2Vec", 91.79755491
"SVM","F Drunk2Vec", 94.35215975
"SVM","F Drunk2Vec", 94.44444826
"SVM","F Drunk2Vec", 93.13233102
"SVM","F Drunk2Vec", 93.9297122
"SVM","F Drunk2Vec", 89.28571913
"SVM","F Drunk2Vec", 89.13857935
"SVM","F Drunk2Vec", 91.48936383
"SVM","F Drunk2Vec", 87.59124368
"SVM","F Drunk2Vec", 89.96539782
"SVM","F Drunk2Vec", 92.30769082
"SVM","F Drunk2Vec", 92.21183737
"SVM","F Drunk2Vec", 90.51094511
"SVM","F Drunk2Vec", 88.05969901
"SVM","F Drunk2Vec", 90.23569203
"SVM","F Drunk2Vec", 88.76685366
"SVM","F Drunk2Vec", 88.5872289
"SVM","F Drunk2Vec", 88.29396082
"SVM","F Drunk2Vec", 89.23225485
"SVM","F Drunk2Vec", 88.23529463
"SVM","F Drunk2Vec", 88.34171211
"SVM","F Drunk2Vec", 87.91878008
"SVM","F Drunk2Vec", 89.39318909
"SVM","F Drunk2Vec", 88.90025625
"SVM","F Drunk2Vec", 89.28389955
"SVM","F Drunk2Vec", 89.08819402
"SVM","F Drunk2Vec", 86.17760639
"SVM","F Drunk2Vec", 88.72512571
"SVM","F Drunk2Vec", 88.82265291
"SVM","F Drunk2Vec", 88.60182488
"SVM","F Drunk2Vec", 89.99269481
"SVM","F Drunk2Vec", 88.44444753
"SVM","F Drunk2Vec", 87.71407199
"SVM","F Drunk2Vec", 88.88888935
"SVM","F Drunk2Vec", 87.94643101
"XGBoost","F Drunk2Vec", 94.0314127
"XGBoost","F Drunk2Vec", 93.74337449
"XGBoost","F Drunk2Vec", 94.2622957
"XGBoost","F Drunk2Vec", 92.78350535
"XGBoost","F Drunk2Vec", 92.62032334
"XGBoost","F Drunk2Vec", 93.13621863
"XGBoost","F Drunk2Vec", 93.24474019
"XGBoost","F Drunk2Vec", 93.14227176
"XGBoost","F Drunk2Vec", 93.85699934
"XGBoost","F Drunk2Vec", 92.35537
"XGBoost","F Drunk2Vec", 91.54228834
"XGBoost","F Drunk2Vec", 92.46231011
"XGBoost","F Drunk2Vec", 92.73356466
"XGBoost","F Drunk2Vec", 92.61745115
"XGBoost","F Drunk2Vec", 91.62561351
"XGBoost","F Drunk2Vec", 92.776887
"XGBoost","F Drunk2Vec", 94.7194699
"XGBoost","F Drunk2Vec", 91.55405379
"XGBoost","F Drunk2Vec", 92.7631548
"XGBoost","F Drunk2Vec", 92.17687414
"XGBoost","F Drunk2Vec", 87.36462048
"XGBoost","F Drunk2Vec", 91.9117655
"XGBoost","F Drunk2Vec", 85.714282
"XGBoost","F Drunk2Vec", 84.61538536
"XGBoost","F Drunk2Vec", 88.96797581
"XGBoost","F Drunk2Vec", 91.60838993
"XGBoost","F Drunk2Vec", 88.88888804
"XGBoost","F Drunk2Vec", 89.70587788
"XGBoost","F Drunk2Vec", 90.70632119
"XGBoost","F Drunk2Vec", 88.63858975
"XGBoost","F Drunk2Vec", 87.62781033
"XGBoost","F Drunk2Vec", 89.29452509
"XGBoost","F Drunk2Vec", 87.99182524
"XGBoost","F Drunk2Vec", 88.2642985
"XGBoost","F Drunk2Vec", 89.19753059
"XGBoost","F Drunk2Vec", 87.31268643
"XGBoost","F Drunk2Vec", 89.4348906
"XGBoost","F Drunk2Vec", 87.65371692
"XGBoost","F Drunk2Vec", 86.83948231
"XGBoost","F Drunk2Vec", 87.57576076
"XGBoost","F Drunk2Vec", 89.17102274
"XGBoost","F Drunk2Vec", 88.15592186
"XGBoost","F Drunk2Vec", 87.10424729
"XGBoost","F Drunk2Vec", 89.24242125
"XGBoost","F Drunk2Vec", 88.83961716
"XGBoost","F Drunk2Vec", 88.31951732
"XGBoost","F Drunk2Vec", 88.27586179
"XGBoost","F Drunk2Vec", 85.80106082
"XGBoost","F Drunk2Vec", 87.67122858
"DNN","F Drunk2Vec", 93.80902
"DNN","F Drunk2Vec", 93.65751
"DNN","F Drunk2Vec", 93.82199
"DNN","F Drunk2Vec", 94.19219
"DNN","F Drunk2Vec", 95.28796
"DNN","F Drunk2Vec", 94.67085
"DNN","F Drunk2Vec", 94.09283
"DNN","F Drunk2Vec", 93.17697
"DNN","F Drunk2Vec", 93.89002
"DNN","F Drunk2Vec", 92.59259
"DNN","E LSTM", 93.89866
"DNN","E LSTM", 93.00847
"DNN","E LSTM", 92.53731
"DNN","E LSTM", 93.62591
"DNN","E LSTM", 94.08034
"DNN","E LSTM", 93.5857
"DNN","E LSTM", 93.11828
"DNN","E LSTM", 92.68293
"DNN","E LSTM", 93.56846
"DNN","E LSTM", 92.93598
"DNN","B GloVe-static", 86.34985
"DNN","B GloVe-static", 86.58009
"DNN","B GloVe-static", 87.74459
"DNN","B GloVe-static", 86.76307
"DNN","B GloVe-static", 88.1768
"DNN","B GloVe-static", 85.99138
"DNN","B GloVe-static", 88.51064
"DNN","B GloVe-static", 88.12834
"DNN","B GloVe-static", 86.78881
"DNN","B GloVe-static", 86.64495
"DNN","C GloVe-non-static", 91.02296
"DNN","C GloVe-non-static", 90.33571
"DNN","C GloVe-non-static", 90.87137
"DNN","C GloVe-non-static", 90.06211
"DNN","C GloVe-non-static", 90.32258
"DNN","C GloVe-non-static", 90.23861
"DNN","C GloVe-non-static", 92.69841
"DNN","C GloVe-non-static", 89.70748
"DNN","C GloVe-non-static", 90.69767
"DNN","C GloVe-non-static", 90.45121
"DNN","A Skipgram-static", 84.1998
"DNN","A Skipgram-static", 80.9417
"DNN","A Skipgram-static", 85.41226
"DNN","A Skipgram-static", 85.77362
"DNN","A Skipgram-static", 86.39668
"DNN","A Skipgram-static", 83.23108
"DNN","A Skipgram-static", 85.34759
"DNN","A Skipgram-static", 82.56468
"DNN","A Skipgram-static", 83.5631
"DNN","A Skipgram-static", 83.33333
"DNN","D Skipgram-non-static", 94.17879
"DNN","D Skipgram-non-static", 93.41963
"DNN","D Skipgram-non-static", 92.69777
"DNN","D Skipgram-non-static", 93.88601
"DNN","D Skipgram-non-static", 93.90374
"DNN","D Skipgram-non-static", 91.23196
"DNN","D Skipgram-non-static", 93.08855
"DNN","D Skipgram-non-static", 93.65245
"DNN","D Skipgram-non-static", 92.96636
"DNN","D Skipgram-non-static", 92.42424
"DNN","F Drunk2Vec", 92.54237
"DNN","F Drunk2Vec", 92.89428
"DNN","F Drunk2Vec", 92.09139
"DNN","F Drunk2Vec", 94.56343
"DNN","F Drunk2Vec", 93.15648027
"DNN","F Drunk2Vec", 92.86899
"DNN","F Drunk2Vec", 92.64957
"DNN","F Drunk2Vec", 93.086
"DNN","F Drunk2Vec", 93.40463
"DNN","F Drunk2Vec", 93.46734
"DNN","B GloVe-static", 84.79263
"DNN","B GloVe-static", 86.23298
